district_id,lb_code,lb_name_english,lb_type_csn,lb_type,district_name,lb_name_full
1,G010208,Pulimath,1,Grama Panchayat,Thiruvananthapuram District ,"Pulimath Grama Panchayat, Thiruvananthapuram District "
1,G010705,Azhoor,1,Grama Panchayat,Thiruvananthapuram District ,"Azhoor Grama Panchayat, Thiruvananthapuram District "
1,G010301,Anjuthengu,1,Grama Panchayat,Thiruvananthapuram District ,"Anjuthengu Grama Panchayat, Thiruvananthapuram District "
1,G010302,Vakkom,1,Grama Panchayat,Thiruvananthapuram District ,"Vakkom Grama Panchayat, Thiruvananthapuram District "
1,G010303,Chirayinkeezhu,1,Grama Panchayat,Thiruvananthapuram District ,"Chirayinkeezhu Grama Panchayat, Thiruvananthapuram District "
1,G010304,Kizhuvilam,1,Grama Panchayat,Thiruvananthapuram District ,"Kizhuvilam Grama Panchayat, Thiruvananthapuram District "
1,G010305,Mudakkal,1,Grama Panchayat,Thiruvananthapuram District ,"Mudakkal Grama Panchayat, Thiruvananthapuram District "
1,G010306,Kadakkavoor,1,Grama Panchayat,Thiruvananthapuram District ,"Kadakkavoor Grama Panchayat, Thiruvananthapuram District "
1,G010401,Kallara,1,Grama Panchayat,Thiruvananthapuram District ,"Kallara Grama Panchayat, Thiruvananthapuram District "
1,G010402,Nellanad,1,Grama Panchayat,Thiruvananthapuram District ,"Nellanad Grama Panchayat, Thiruvananthapuram District "
1,G010403,Pullampara,1,Grama Panchayat,Thiruvananthapuram District ,"Pullampara Grama Panchayat, Thiruvananthapuram District "
1,G010404,Vamanapuram,1,Grama Panchayat,Thiruvananthapuram District ,"Vamanapuram Grama Panchayat, Thiruvananthapuram District "
1,G010405,Pangode,1,Grama Panchayat,Thiruvananthapuram District ,"Pangode Grama Panchayat, Thiruvananthapuram District "
1,G010406,Nanniyode,1,Grama Panchayat,Thiruvananthapuram District ,"Nanniyode Grama Panchayat, Thiruvananthapuram District "
1,G010407,Peringammala,1,Grama Panchayat,Thiruvananthapuram District ,"Peringammala Grama Panchayat, Thiruvananthapuram District "
1,G010408,Manickal,1,Grama Panchayat,Thiruvananthapuram District ,"Manickal Grama Panchayat, Thiruvananthapuram District "
1,G010501,Aryanad,1,Grama Panchayat,Thiruvananthapuram District ,"Aryanad Grama Panchayat, Thiruvananthapuram District "
1,G010502,Poovachal,1,Grama Panchayat,Thiruvananthapuram District ,"Poovachal Grama Panchayat, Thiruvananthapuram District "
1,G010503,Vellanad,1,Grama Panchayat,Thiruvananthapuram District ,"Vellanad Grama Panchayat, Thiruvananthapuram District "
1,G010504,Vithura,1,Grama Panchayat,Thiruvananthapuram District ,"Vithura Grama Panchayat, Thiruvananthapuram District "
1,G010505,Uzhamalakkal,1,Grama Panchayat,Thiruvananthapuram District ,"Uzhamalakkal Grama Panchayat, Thiruvananthapuram District "
